user_id,session_id,timestamp,step,item_recommendations,item_probs
00EI1R7YK601,9639ee039c1d0,1541068329,3,135917 104177 106691 1409858 4529846 3822896 3145852 104098 104136 104150 104168 104182 393751 2632348 2634142 3143230 3516462 6003158 1954745 104132 3760608 393741 473936 474311 444211,0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
00GKOZLYVI9R,8e74b912cb1b4,1541065310,16,3060180 3176094 5658130 4467826 5200924 1985641 1947857 1466347 1782303 2596290 5452024 1320401 1031940 1532857 103561 3175930 10597978 5827212 818501 5061894 103599 3143733 1148728 8162422 3861456,0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
00J9RN4XAC2N,d2397c03bc9b4,1541065050,122,3134112 1104106 2714672 4073430 3827338 10627484 3845824 1104130 4702338 10121470 1104104 4523938 5856386 1104108 2661470 1104098 2661472 7182542 2667668 4055868 5060084 8893578 4582950 4657368 8878078,0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
00M5AMMLYQG5,8fd417ebd2d5b,1541062793,1,9882016 106769 48219 147360 7333050 3533848 7538 33204 48199 107766 5739690 5975372 48272 5100088 48172 107063 136893 147345 107525 7544 7323916 98257 3578004 48201 147342,0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
00QD3TS82ZP1,65f6d52da6c28,1541064419,3,3538112 1518663 1749805 3537348 2230166 8486742 3902194 6212880 2034239 3536828 2832878,0.5 0.5 0 0 0 0 0 0 0 0 0
00VFIQZH8RZ6,b485e039d93c7,1541062460,33,6546628 147278 3905094 3087002 8980586 100137 9340624 9549282 2772604 9361218 7782744 4766024 3213142 4017962 9060578 2892412 5627048 2632086 7793494 708451 2005355 1609409 3808512 534866 85910,0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
00WWQYCIDPUF,a8962895bad41,1541064252,6,7929996 8767518 5742058 7195114 7325018 1960797 15905 48332 48251 7560 5741146 14775 33204 1258963 6919106 48223 3785178 5739690 7209348 48318 147369 147345 48205 7801152 48206,0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
00XDNZNRBSAH,94ab75d928c18,1541064630,4,357136 62695 1328816 67719 356436 1108711 403891 55898 10324504 1108623 10429324 10973316 10820954,0.5 0.5 0 0 0 0 0 0 0 0 0 0 0
00ZDLU2ASH0X,85ca517b4f0da,1541064284,5,552221 5050230 552281 3978936 8436080 552236 2870949 693421 5960770 3767214 1739035 1739037 1020429 1521097 1020351 1020365 1020355 1020369 2314936 1020403 1948913 7328208 1020371 1198226 1570019,0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0124PIAGFWFO,bc904eed65f07,1541059875,3,153371 6841986 10443208 12289 12197 149812 32795 129265 100038 893387 50131 2242926 931143 49067 83210 11898 6002460 15585 12058 3243612 866781 49865 12084 12052 12018,0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
013FYPOAWU57,5166b393ab138,1541063311,4,6428276 6437904 1165830 4466368 7228744 2432702 148238 7314832 1232564 2297386 6281742 7369482 8948 361066 8949 3147852 4596922 391216 1192908 8919 898919 99062 1536309 8924 1403144,0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0168S4C5E60K,016150a298e6e,1541063179,9,42109 42127 42270 137704 1577271 1750769 42146 42128 1719593 42064 2727852 6806560 2423428 42065 3132210 5121038 5435502 1817071 3138590 1227070 1613235 5980296,0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
019M5PODL0RN,05bd08cd6d306,1541064889,41,5833518 1038762 109133 851456 1398107 325606 4836976 2752776 1253885 9632888 668051 1356750 611296 2306208 1687591 2940950 3161712 105310 1383670 668046 1399464 1383668 1423053 10328316 1832389,0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
01BS6LPQ5JTX,2a35cec32ede2,1541063117,1,127745 43084 1257131 1797067 1848773 5452918 4985074 34363 1350282 42700 1009031 349141 2731370 42760 1955847 3378328 893651 6538232 34364 349166 2346400 5850832 1713647 1265777 1653767,0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
01BWKU14O155,f4be491d6f0f5,1541059709,3,97453 102314 102313 119818 114709 119299 1042494 198571 97429 116532 112975 3831058 111946 116367 1205040 115176 2005073 97476 1723845 944807 97467 7753258 113544 1888751 3827840,0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
01IVKQGSPKFJ,128770ef797dc,1541060766,8,649386 1248045 5111798 3880042 159757 2169012 125989 153605 100364 352101 40219 159751 127380 106388 127351 7348464 4870060 1944999 8913524 798471 1207710 4029282 5084760 4597656 159780,0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
01MTZ6S2OHUA,2d123642df132,1541059612,10,1277246 1341812 1550767 1388724 2187086 1242442 2794852 1259880 1387387 4928928 1287178 5832234 1330225 1331196 9048434 2780330 6864914 8435310,0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
01P4SC0MK87B,31ac01126ea50,1541064752,1,2896778 120830 127255 179866 2402843 3832430 179391 885375 179566 819751 903219 3831464 2102776 3859708 1831197 1829787 2001157 2301766 2151614 900751 2379529 1391595 179221 2213960 6166058,0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
01RJ0HQW172R,32cee27d3fb32,1541060382,8,6026648 2347852 3388004 4995084 3938098 9416488 3941140 126981 940534 6032174 245916 2899886 9494472 2632220 7158650,0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0
01TV7XA5DCC5,5ab5fdd2135e8,1541061406,1,10375784 10594750 6320150,0.5 0.5 0
01TVO5682M54,87f6293888255,1541066089,1,7365424 1012409 3935846 1947821 3145990 1136815 6442424 1012407 5624468 1996437 2040625 4450066 1012417 3074874 1532535 8353622 496616 2855482 9862968 3543774 6122976 1012411 1532747 3543000 1012425,0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
01VPWUCD4E94,65f1cf611b920,1541063165,59,907787 13026 199031 5704 5781 1153620 14565 1032338 2201134 5548 13863 2524442 893311 1613533 5601 2275636 5614 5537 15494 1711059 5832250 50830 1353046 5545 5559,0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
01XT8XWUV9ZA,077b15a79c9aa,1541062437,26,4937208 2925638 33143 848901 37525 4485760 500296 2156362 111256 393201 912965 2631584 37539 25887 1825325 37523 8301508 80238 3177473 37575 3190778 10494862 2754942 2658392 400321,0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0258KXXXLEWC,107a9729498e0,1541065168,9,1233955 558111 1553197 1929457 103864 1646489 1021951 843856 1374524 4567270 3480500 3805690 558071 345031 920559 1469807 2573554 1482491 1206502 1077344 1514099 1106768 705401 825596 3149976,0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0270TJQ6QFGJ,c97be4d047311,1541064595,5,5106518 94860 571196 559411 2707406 2713290 3252806 3371308 3802294 4042196 4561136 1979613 3766330 321201 1885339 1989457 8466790 3365500 3980446 3147528 5760572 1276935 8209148 2157996 1276931,0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
