user_id,session_id,timestamp,step,item_recommendations,item_probs
00SNJPRNTHNK,7aedbe8007ad3,1541554257,16,839676 66750 66755 66756 65477 3152058 76862 68532 936645 1488415 67633 76859 55438 1029070 982809 72515 1211520 59123 77196 1953621 72137 8225034 3155850 57742 78338,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
00T6CGM57XR6,905c00fe5dff2,1541555605,52,66859 61386 56712 64476 71832 61576 325131 58269 72582 60046 64184 62270 63674 55701 60146 65564 73827 9983662 66855 65357 69647 64018 5817448 66854 929891,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
0156R9I3NAAJ,68b1b0c6b06ac,1541552032,228,1857111 2510175 2030665 4725524 6780134 1717781 2800170 8121154 2096832 2312210 1253397 963625 7762746 2776714 11034402 6511880 2360114 3243164 2814194 5434300 6030954 2792284 2023605 8760298 5108370,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
01B8MDFB3799,6ce0a23703c2a,1541554010,9,5194300 6776174 42810 4736046 1976545 5595696 2785316 9780174 8331736 4411164 10313008 9386300 3813380 511566 4536424 8415000 2249668 9537088 10288376 4043242 3868254 10074514 4868232 1114787 8104452,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
01Y18V0EQ8VS,9a36f321926bf,1541555039,5,367961 103360 922301 103333 4525470 1963809 6235802 1245748 3135038 3163640 1820307 103346 1532391 551871 2222526 390026 103338 2758101 3491314 6235684 519816 2028689 2306328 2857537,0.26778841368732803 0.13389420684366402 0.08926280456244266 0.06694710342183201 0.053557682737465605 0.04463140228122133 0.03825548766961828 0.033473551710916004 0.02975426818748089 0.026778841368732802 0.02434440124430255 0.022315701140610666 0.02059910874517908 0.01912774383480914 0.017852560912488533 0.016736775855458002 0.015752259628666353 0.014877134093740444 0.014094127036175158 0.013389420684366401 0.012751829223206095 0.012172200622151274 0.011642974508144695
022VZLW2WVAL,8872022109c8d,1541549749,2,29801 29808 29829 3133564 882789 96660 914271 1864915 5735622 3491488 15320 9252 9257 29797 402726 29831 1797085 184936 29810 683056 1533189 1954563 9890220 97872 9562464,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
02XW8A7TCX29,619ba5a2338ef,1541552669,4,4459466 771448 10141136 1324786 120973 1591635 1955315 2833717 3977044 7031246 10115466,0.34141715214740553 0.17070857607370277 0.1138057173824685 0.08535428803685138 0.06828343042948111 0.05690285869123425 0.04877387887820079 0.04267714401842569 0.0379352391274895 0.034141715214740555
031GGMVE395Q,f79c2cf51ab69,1541554166,66,2551236 478501 2369161 1961899 2432718 9187688 4086132 8233076 2790574 9462210 2258654 1954313 4289520 5221408 3756392 3930104 2485482 4714444 4684282,0.28611418520598664 0.14305709260299332 0.0953713950686622 0.07152854630149666 0.05722283704119733 0.0476856975343311 0.04087345502942666 0.03576427315074833 0.0317904650228874 0.028611418520598664 0.026010380473271512 0.02384284876716555 0.022008783477383588 0.02043672751471333 0.019074279013732442 0.017882136575374165 0.016830246188587448 0.0158952325114437
03CE83FRBOWX,1f62529663a5c,1541550685,79,42762 153117 42507 6626164 42944 42772 740641 42387 43166 1488513 5074808 42359 43098 136945 42757 349246 42809 9940254 4998172 5197178 42345 42447 5610012 930387 437676,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
03U1VWTL5N5M,68e82bb5bde32,1541549924,3,12568 12558 12564 1237140 12565 3981996 162276 1204716 48081 12579 6270192 46606 899371 2435850 2049875 12571 12563 12580 135964 147864 12567 47135 157548 46279 147868,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
03Y99OYNETPS,78c588070a627,1541557511,13,7151148 5607818 4946238 20488 2094948 20390 20433 5115174 883865 6769502 4041420 1821301 20480 8971270 2219774 8220886 20549 20590 3218152 20560 904173 8880614 8764118 9396050 1824279,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
05FQ65V3RYAL,e212812762023,1541550650,9,3053490 44351 44165 44874 44566 101024 44311 44318 16115 43470 44761 43623 3148620 44440 44049 953087 43816 101016 347781 2287464 1914579 44164 1835163 7345066 44837,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
05VNZK61JAR0,d921bd7f0e283,1541553851,100,10571698 11033340 8177180 10346116 10390170 10363934 10774614 6709862 10144642 10342244 9505680 10250990 8747628 9728900 10350048 3813012 10778872 10262146 10741288 10767708 10774890 10721482 10772584 10138722 10393182,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
06002YFSVKVC,fb1df15d378e6,1541549542,6,1108597 174077 207241 5216358 207346 2195426 180571 911583 2727594 235561 318191 3176615 1130441 315216,0.31445218251769425 0.15722609125884712 0.10481739417256475 0.07861304562942356 0.06289043650353886 0.052408697086282374 0.04492174035967061 0.03930652281471178 0.034939131390854916 0.03144521825176943 0.028586562047063117 0.026204348543141187 0.024188629424438023
069YUSKYN9JB,a0caaf09322f5,1541557669,3,9141902 9023000 9172390 6981328 8262602 7886272 9918480 8303510 8318448 8450780,0.3534857623790153 0.17674288118950765 0.11782858745967177 0.08837144059475383 0.07069715247580306 0.058914293729835886 0.05049796605414504 0.04418572029737691 0.03927619581989059
06N2S2882YSM,907c693fa7826,1541551627,9,997745 1348600 931237 588596 2273390 478321 1652507 2027493 1814267 4703592 2029885 1827169 312816 931585 4698312 2030751 1560263 2063186 2734789,0.28611418520598664 0.14305709260299332 0.0953713950686622 0.07152854630149666 0.05722283704119733 0.0476856975343311 0.04087345502942666 0.03576427315074833 0.0317904650228874 0.028611418520598664 0.026010380473271512 0.02384284876716555 0.022008783477383588 0.02043672751471333 0.019074279013732442 0.017882136575374165 0.016830246188587448 0.0158952325114437
06VUA7BLMVE2,b0bd33c726835,1541553377,63,722206 106403 3207603 7898936 4932048 1007245 1995025 8736874 109322 10622210 1995737 3895722 1947645 5806754 6207370 3809664 9505980 9783798 10207044 6003398 3066460 9422166 10111800 5459260 7132648,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
06WPOTXUMQ61,3f9a3d892c7f8,1541551926,19,1030480 5860932 508001 2152530 378471 521616 476161 476256 1356944 516306 3239502 3755908 954083 204591 595516 2442528 476186 10097174 2103562 7830802 2591184 6755198 1354926 1552533 9263714,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
07EYYJ0MUWUX,d7d769dd3fec5,1541550122,11,984821 3755916 1141702 913281 104261 2196642 311511 312641 3152714 1051026 6002384 840441 1134439 312601 3568526 312481 312536 5105486 5965362 4912126 5101976 9781784 2587850 8388446 3220834,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
08MZZNTGTP3I,ad9c77710ec98,1541551216,6,147730 12516 2394168 12523 46893 1075574 139312 4329488 1184620 46254 925217 10196954 12518 46286 2430499 7086836 959737 47341 1355106 1504481 1502611 9749964 2093456 9354382 1184598,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
098IMPAV6LTY,33f3d0c971b1e,1541564132,30,103573 1145955 1110431 1135130 1882425 1135146 1146739 1738475 992609 1883077 1213584 1519635 992681 502891 3862664 3537666,0.30136557845783046 0.15068278922891523 0.10045519281927681 0.07534139461445762 0.06027311569156609 0.050227596409638406 0.043052225493975776 0.03767069730722881 0.033485064273092266 0.030136557845783046 0.027396870768893678 0.025113798204819203 0.023181967573679265 0.021526112746987888 0.020091038563855364
09F0QJND2YHU,f360c86ab0c9a,1541552067,8,110976 81784 4246826 85231 4059674 88710 150898 8835638 3172368 1064828 928641 7151202 7670874 6674628 1247938 85285 8439922 8939600 4007768 10592276 8169168 8415496 8238566 10900806 1769221,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
09JAAA1T1256,62d3c93a90073,1541558478,4,1627067 1570721 1399871 8964584 9547228 3958288 2717397 1636101 2124598 3148388 2922451 2786254 3487242 10598504 10177454 10186730 7932862 3140406 10172184 8323332 9430588 1480671 10747932 9008372 10363200,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
0C09NQJ0JK78,d73a9bddd1d0d,1541552483,3,100371 9593 40590 1007791 110649 1870153 120949 9600 81787 95222 2248546 4788108 1008135 4668906 5108880 895781 9594 1500999 178332 2847120 130482 4663202 156512 4651726 8832496,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
0C7E29QPGF6J,92559a3b71fb8,1541558640,9,33509 1670105 1056752 480906 2827692 4935508 2179876 2653388 1820331 4622498 889709 1886533 9853840 95967 4204250 9906180 33521 8938928 3567044 33559 33488 5854954 7913254 9886790 9932144,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
0DAYC3KZBTR5,233d33675aa09,1541549149,33,5155978 1717829 104881 1713735 1770325 1708335 5958544 8940834 1888825 903277 5123142 1947769 6720478 3211849 8968140 3217002 5126858 5885948 2201372 3133149 7110018 4997570 1993963 7168264 6557504,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
0DG8J6X9PILM,de3b797ea27d0,1541558164,18,34366 34371 42793 34393 43118 112151 2063126 7882948 112158 43081 2282302 1289842 2595004 42955 42428 1543961 2614486 4277790 1067854 43154 1477731 6901690 3066826 2565229 5704440,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
0FXYIM01ONFM,9f838b939f521,1541550028,22,6275460 3248760 5011478 2034475 1013307 9611226 2561755 8474560,0.38567493112947665 0.19283746556473833 0.1285583103764922 0.09641873278236916 0.07713498622589533 0.0642791551882461 0.05509641873278237
0GCAOQFC03NH,019006cb3d9f0,1541549750,5,3132670 103554 103561 824196 103562 3143731 103670 103700 103658 103455 1394854 1208012 103478 103582 347081 6333170 4645226 103565 103481 559046 103669 103521 497566 3079114 103638,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
0H9DTK7Y30XV,abadc3e1c1618,1541558399,3,61542 153746 63492 64181 58683 59723 62291 58331 58623 3788878 68795 8337010 111392 64424 72533 55870 3749358 56018 5180578 3159012 60289 1455507 63783 1040680 5018538,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
